#{"t_start": 1708424537.4409866, "env_id": "None"}
r,l,t
0.0,201,108.341397
0.0,201,108.518007
0.0,201,108.686833
0.0,201,108.844037
0.0,201,109.031367
0.0,201,109.195295
0.0,201,109.350078
0.0,201,109.514755
0.0,201,109.663193
0.0,201,109.824061
0.0,201,109.992506
0.0,201,110.169994
0.0,201,110.32194
0.0,201,110.491281
0.0,201,110.663131
0.0,201,110.818547
0.0,201,110.989442
0.0,201,111.16627
0.0,201,111.331528
0.0,201,111.511546
0.0,201,111.670115
0.0,201,111.839441
0.0,201,111.988145
0.0,201,112.156769
0.0,201,112.343405
0.0,201,112.506638
0.0,201,112.676788
100.0,1,112.679691
0.0,201,112.853979
0.0,201,113.012287
100.0,2,113.015637
0.0,201,113.1782
0.0,201,113.363295
0.0,201,113.529411
0.0,201,113.690451
100.0,1,113.691488
0.0,201,113.852042
0.0,201,114.023765
0.0,201,114.19645
0.0,201,114.363173
0.0,201,114.522422
0.0,201,114.680203
0.0,201,114.85565
0.0,201,115.009505
0.0,201,115.176771
0.0,201,115.347476
0.0,201,115.524377
0.0,201,115.697383
0.0,201,115.869572
0.0,201,116.03305
0.0,201,116.203896
0.0,201,116.364256
0.0,201,116.548531
0.0,201,116.715526
0.0,201,116.884145
0.0,201,117.04302
0.0,201,117.206728
0.0,201,117.364079
0.0,201,117.550042
0.0,201,117.77576
0.0,201,117.988442
0.0,201,118.195575
0.0,201,118.406377
0.0,201,118.633248
0.0,201,118.837222
0.0,201,119.041665
0.0,201,119.237064
0.0,201,119.400013
0.0,201,119.573339
0.0,201,119.740231
0.0,201,119.927695
0.0,201,120.08989
0.0,201,120.264364
0.0,201,120.426399
0.0,201,120.605933
0.0,201,120.770108
0.0,201,120.930327
0.0,201,121.105442
0.0,201,121.266235
0.0,201,121.432416
0.0,201,121.603069
0.0,201,121.765773
0.0,201,121.93011
0.0,201,122.121649
0.0,201,122.280449
0.0,201,122.446594
0.0,201,122.612865
0.0,201,122.784606
0.0,201,122.935733
0.0,201,123.111224
0.0,201,123.280808
0.0,201,123.439649
0.0,201,123.605449
0.0,201,123.76964
0.0,201,123.96207
0.0,201,124.132029
0.0,201,124.322128
0.0,201,124.479535
0.0,201,124.649455
0.0,201,124.81821
0.0,201,124.992012
0.0,201,125.157308
0.0,201,125.343064
0.0,201,125.510517
0.0,201,125.675959
0.0,201,125.83123
0.0,201,126.010586
0.0,201,126.175087
0.0,201,126.335426
0.0,201,126.529077
0.0,201,126.705682
